galaxy,cluster,sftype,agntype,right_ascension,declination,distance,redshift,modified_redshift,itot_151,itot_610,itot_1400,itot_4860,itot_18000,m_hi,cos_va,itot_24mic,itot_70mic,itot_100mic,itot_160mic,itot_250mic,itot_350mic,itot_450mic,itot_500mic,itot_850mic,itot_1200mic,K_mag,RQQ_IR_class,SD_flag,dlog_L
47155,1165,0,1,0.43006,0.41192,460.657,0.109676,0.109942894,-1.5684,-1.9928,-2.2454,-2.6238,-3.0218,0,0,-1.20151,0.0178958,0.0696286,-0.19206,-0.61193,-0.991421,-1.29895,-1.43215,-2.12597,-2.58278,13.4363,1,0,0
119717,0,0,1,0.39847,-0.21575,631.209,0.152779,0.152613415,-2.2355,-2.66,-2.9125,-3.2909,-3.6889,0,0,-2.5322,-2.43416,-2.19014,-1.91862,-2.06407,-2.36936,-2.67124,-2.81127,-3.60748,-4.17237,16.7249,3,0,0
146171,0,0,1,0.17567,-0.23013,683.235,0.165904,0.165717432,-1.7939,-2.2184,-2.4709,-2.8493,-3.2473,0,0,-2.22545,-1.63586,-1.38569,-1.25055,-1.45432,-1.7805,-2.09277,-2.23703,-3.04284,-3.60314,15.3574,-1,0,0
798026,0,0,1,-0.15691,-0.38227,1288,0.325664,0.326122805,-1.6046,-2.0291,-2.2816,-2.66,-3.058,0,0,-1.51296,-1.10446,-1.05394,-1.24605,-1.61558,-1.97621,-2.27024,-2.39903,-3.0815,-3.53998,16.2639,-1,0,0
1232939,0,0,1,-0.03676,-0.43646,1528.236,0.393296,0.392149137,-2.2,-2.6245,-2.877,-3.2554,-3.6534,0,0,-2.53807,-2.19955,-2.20748,-2.06405,-2.15305,-2.41419,-2.68775,-2.81822,-3.5803,-4.13685,17.4541,-1,0,0
1469,0,0,1,-0.12984,-0.98964,118.813,0.027919,0.0284560242,-2.2045,-2.6289,-2.8815,-3.2598,-3.6579,0,0,-1.18672,-0.19817,0.0702813,0.113817,-0.171218,-0.540076,-0.873715,-1.02487,-1.85654,-2.40711,12.0143,3,0,0
72320,0,0,1,0.2454,-1.03822,535.749,0.128925,0.129404536,-2.1311,-2.5556,-2.8081,-3.1865,-3.5845,0,0,-2.01632,-1.13581,-0.951854,-0.974597,-1.26296,-1.61527,-1.93172,-2.07467,-2.85795,-3.38981,14.6322,3,0,0
367090,0,0,1,-0.22152,-0.58305,962.467,0.237947,0.238382315,-1.8195,-2.244,-2.4965,-2.8749,-3.2729,0,0,-1.91739,-1.93304,-1.76856,-1.60727,-1.77116,-2.07517,-2.37505,-2.5154,-3.30681,-3.86838,14.8409,1,0,0
475555,0,0,1,-0.25158,-0.82909,1059.226,0.263578,0.263918173,-2.0581,-2.4825,-2.7351,-3.1134,-3.5115,0,0,-2.7313,-2.55734,-2.55867,-2.28841,-2.36547,-2.63339,-2.91494,-3.049,-3.82167,-4.38239,17.6621,-1,0,0
1424269,0,0,1,0.39128,-0.58352,1607.637,0.41624,0.416210732,-2.3191,-2.7436,-2.9961,-3.3745,-3.7725,0,0,-2.46237,-2.55812,-2.84186,-2.76631,-2.76934,-2.99191,-3.24645,-3.37081,-4.11169,-4.66158,17.2653,-1,0,0
4708,0,0,1,0.04574,-2.4895,174.361,0.041096,0.0408992482,-1.2567,-1.6811,-1.9337,-2.312,-2.7101,0,0,-1.09711,-0.31802,-0.0539088,-0.0013797,-0.27911,-0.644578,-0.97591,-1.12586,-1.95566,-2.50713,12.1739,1,0,0
75289,0,0,1,-0.27745,-1.92269,536.801,0.129186,0.129713399,-2.1195,-2.544,-2.7965,-3.1749,-3.5729,0,0,-1.79005,-1.12307,-0.933502,-0.953755,-1.24155,-1.5936,-1.90995,-2.0529,-2.8361,-3.36794,14.4218,3,0,0
944426,0,0,1,-0.33878,-2.46533,1374.474,0.349708,0.3493196,-1.9466,-2.371,-2.6236,-3.002,-3.4,0,0,-1.96923,-2.23671,-2.49695,-2.40373,-2.45258,-2.7005,-2.96893,-3.09859,-3.85631,-4.41302,15.7487,1,0,0
2816537,0,0,1,-0.32667,-2.49724,2109.395,0.568843,0.567427419,-2.11,-2.5345,-2.787,-3.1654,-3.5634,0,0,-1.61776,-1.20591,-1.07822,-1.06092,-1.17828,-1.38733,-1.59383,-1.60901,-1.44288,-1.93693,14.2584,1,0,0
1163,0,0,1,0.39325,-2.9964,104.093,0.02444,0.0251790582,-1.8305,-2.2549,-2.5075,-2.8858,-3.2839,0,0,-1.32283,-0.371995,-0.0177078,0.132548,-0.106402,-0.457499,-0.78318,-0.931974,-1.75591,-2.30528,11.8336,2,0,0
